merchant_name,month,monthly_spend
May-Vaughn,2024-11-01,2507.38
"Brown, Ford and Kelly",2024-11-01,2507.24
"Harper, Jackson and Jones",2024-11-01,2506.96
"Scott, Francis and Novak",2024-11-01,2506.82
Mendoza Inc,2024-11-01,2502.2
Allen Inc,2024-11-01,2501.61
"Martin, Nelson and Murray",2024-11-01,2501.35
Wallace-Reid,2024-11-01,2500.56
Hunter-Wells,2024-11-01,2499.15
"Marks, Carter and Doyle",2024-11-01,2498.89
Norton-Obrien,2024-11-01,2498.81
"Adams, Jordan and Perez",2024-11-01,2498.78
Beasley LLC,2024-11-01,2498.53
Shaw and Sons,2024-11-01,2498.3
Mcknight PLC,2024-11-01,2497.69
Smith-Fitzgerald,2024-11-01,2497.44
"Yang, Edwards and Kirby",2024-11-01,2495.92
Moore-Lester,2024-11-01,2494.48
Guerra-Hudson,2024-11-01,2493.44
Li Ltd,2024-11-01,2493.08
"King, Griffin and Osborn",2024-11-01,2491.98
Gray-Dominguez,2024-11-01,2491.3
Welch LLC,2024-11-01,2491.07
Padilla and Sons,2024-11-01,2489.97
Kaiser-Davis,2024-11-01,2489.37
Coleman-Burns,2024-11-01,2489.08
Bush-Rivera,2024-11-01,2488.95
"Robertson, Price and Garrett",2024-11-01,2487.42
Coleman-Grant,2024-11-01,2486.94
"Jones, Gill and Villa",2024-11-01,2485.9
"Floyd, Kidd and Scott",2024-11-01,2484.46
"Bell, Thomas and Wells",2024-11-01,2483.75
"Herrera, Smith and Roberts",2024-11-01,2481.8
Hardy-Watts,2024-11-01,2481.5
"Macdonald, Miles and Mccormick",2024-11-01,2481.03
Salas Group,2024-11-01,2480.67
"Sloan, Johnson and Williams",2024-11-01,2479.58
"White, Torres and Dickson",2024-11-01,2479.19
Cole PLC,2024-11-01,2478.84
"Allen, Crane and White",2024-11-01,2477.97
"Little, Giles and Munoz",2024-11-01,2477.21
Montoya-Fitzgerald,2024-11-01,2475.54
Mills-Kennedy,2024-11-01,2475.49
"Craig, Hall and Stewart",2024-11-01,2474.75
Garrett-Levy,2024-11-01,2474.73
"Brown, Garcia and Wright",2024-11-01,2473.92
"Skinner, Johnson and Kennedy",2024-11-01,2473.89
White-Massey,2024-11-01,2472.31
Wright-Anderson,2024-11-01,2470.75
Williams-Johnson,2024-11-01,2470.37
Evans-Cox,2024-11-01,2469.02
Brennan Inc,2024-11-01,2468.52
Jackson-Baldwin,2024-11-01,2467.68
"Harris, Flores and French",2024-11-01,2467.31
"Thomas, Barrera and Mills",2024-11-01,2466.58
"Lewis, Mendoza and Foster",2024-11-01,2464.52
"Jones, Duarte and Nelson",2024-11-01,2464.49
Warner-Phillips,2024-11-01,2464.14
Gill Inc,2024-11-01,2463.47
"Mitchell, Mitchell and Molina",2024-11-01,2462.81
Jackson PLC,2024-11-01,2461.6000000000004
"Williams, Stephenson and Ramirez",2024-11-01,2460.21
"Shaffer, Hudson and Glass",2024-11-01,2460.0
"Gonzalez, Lewis and Hanson",2024-11-01,2459.82
"Schwartz, Martinez and Davis",2024-11-01,2459.43
Burke-Johnson,2024-11-01,2459.17
"Wheeler, Abbott and Peck",2024-11-01,2459.16
"West, Garrett and Bush",2024-11-01,2458.9
"Serrano, Watson and Calderon",2024-11-01,2458.1
"Wilson, Morris and Hernandez",2024-11-01,2457.14
Knight-Bright,2024-11-01,2456.81
"Gutierrez, Stanley and Moore",2024-11-01,2456.8
Orozco-Wilson,2024-11-01,2456.29
Sherman Group,2024-11-01,2455.02
Monroe Ltd,2024-11-01,2454.36
Parsons LLC,2024-11-01,2453.93
"Smith, Martin and Reyes",2024-11-01,2453.41
Moran-Cohen,2024-11-01,2452.26
Barr-Howe,2024-11-01,2450.89
Mitchell LLC,2024-11-01,2450.82
"Hudson, Calhoun and Snyder",2024-11-01,2450.56
"Richards, Smith and Bartlett",2024-11-01,2450.55
Parker-Martin,2024-11-01,2449.9
"Velasquez, Walls and Keller",2024-11-01,2449.42
Snow and Sons,2024-11-01,2448.88
"Roach, Wang and Bell",2024-11-01,2448.82
Cook-Pearson,2024-11-01,2448.5
Harris-Pace,2024-11-01,2448.28
Benton-Young,2024-11-01,2447.83
Rogers Group,2024-11-01,2446.1800000000003
"Dixon, Walker and Moody",2024-11-01,2445.46
"Mason, Rodriguez and Sherman",2024-11-01,2443.36
"Davis, Green and Walker",2024-11-01,2443.3
Jackson-Yoder,2024-11-01,2441.5
"Norris, Green and Cummings",2024-11-01,2440.94
Edwards-Ali,2024-11-01,2440.73
Ward-Wu,2024-11-01,2440.1
"Li, Sanders and Klein",2024-11-01,2440.06
"Lamb, Smith and Allen",2024-11-01,2440.05
Burton-Ellis,2024-11-01,2439.49
Oliver Ltd,2024-11-01,2439.45
Mullen-Hall,2024-11-01,2439.28
"Gibson, Werner and Owens",2024-11-01,2436.57
Turner-Carson,2024-11-01,2435.5
Garcia-Johnston,2024-11-01,2434.36
Ochoa-Reed,2024-11-01,2433.58
Hudson Inc,2024-11-01,2431.64
"Sanchez, Grant and Shepherd",2024-11-01,2430.55
Stewart Group,2024-11-01,2430.1499999999996
"Maxwell, Chapman and Bailey",2024-11-01,2429.63
"Woods, Hernandez and Hansen",2024-11-01,2429.25
Davila Group,2024-11-01,2429.05
"Harris, Key and Campbell",2024-11-01,2428.35
"Randall, Chambers and Davis",2024-11-01,2428.24
"Miller, Martin and Grant",2024-11-01,2428.09
Levine-Smith,2024-11-01,2427.89
King-Camacho,2024-11-01,2427.87
Davis-Johnson,2024-11-01,2426.93
Young-Kirk,2024-11-01,2426.83
Rodriguez-Powell,2024-11-01,2425.72
"Ramirez, Duke and King",2024-11-01,2425.61
Lee-Mills,2024-11-01,2423.36
Blair-Stewart,2024-11-01,2421.87
Gutierrez-Gross,2024-11-01,2421.83
Whitney PLC,2024-11-01,2419.73
"Lin, Wright and Hopkins",2024-11-01,2417.47
"Martin, Jimenez and Rasmussen",2024-11-01,2417.0
"Williams, Collins and Garcia",2024-11-01,2416.74
"Park, Lane and Wheeler",2024-11-01,2415.2
Morgan Group,2024-11-01,2415.14
Johnston-Branch,2024-11-01,2414.49
"Wang, Case and Hurley",2024-11-01,2414.05
Benson-Johnson,2024-11-01,2413.23
Jimenez Ltd,2024-11-01,2412.4
Nelson Inc,2024-11-01,2411.9
Hull-Davis,2024-11-01,2411.77
"Ramirez, Brewer and Pittman",2024-11-01,2410.46
Wood-Wiggins,2024-11-01,2410.28
Chang Ltd,2024-11-01,2410.23
Vazquez Ltd,2024-11-01,2409.76
"Hensley, Knight and Williams",2024-11-01,2408.91
"Romero, Velazquez and Mejia",2024-11-01,2407.42
Davis-Coleman,2024-11-01,2405.21
Maldonado-Byrd,2024-11-01,2403.69
Daniel-Alexander,2024-11-01,2399.43
"Ruiz, Ramirez and Moore",2024-11-01,2398.72
"Beck, Scott and Flores",2024-11-01,2397.44
Bartlett Inc,2024-11-01,2397.36
Williams-Washington,2024-11-01,2396.77
Gibson-Yang,2024-11-01,2396.72
"Mitchell, Douglas and Scott",2024-11-01,2396.12
Huff-Cook,2024-11-01,2394.26
Young and Sons,2024-11-01,2393.42
Mcclure Group,2024-11-01,2393.4
Gates and Sons,2024-11-01,2392.1
Moore-Mayer,2024-11-01,2391.2
"Morales, Grant and Bates",2024-11-01,2390.64
Cole-West,2024-11-01,2390.35
Gilmore Inc,2024-11-01,2389.67
Norris-Wright,2024-11-01,2389.67
"Martin, Scott and Best",2024-11-01,2389.66
Mercado and Sons,2024-11-01,2389.53
Lambert PLC,2024-11-01,2389.37
Mcclure LLC,2024-11-01,2389.35
"Caldwell, Shannon and Mullins",2024-11-01,2388.89
Avila-Harris,2024-11-01,2388.67
Richardson-Richardson,2024-11-01,2386.51
"King, Guerra and Taylor",2024-11-01,2385.81
Conway-Gutierrez,2024-11-01,2385.8
Thomas-Roberts,2024-11-01,2385.16
Navarro-Mora,2024-11-01,2384.62
"Wilkerson, Howard and Braun",2024-11-01,2383.49
"Davis, Nolan and Ferguson",2024-11-01,2383.38
Cardenas-Hammond,2024-11-01,2382.62
"Martinez, Barton and Simmons",2024-11-01,2382.57
Fisher LLC,2024-11-01,2382.2
"Miller, Davis and Harris",2024-11-01,2381.94
Miller-Cannon,2024-11-01,2381.91
Ross-Hale,2024-11-01,2381.33
Perez-Douglas,2024-11-01,2379.97
Stevenson-Ferguson,2024-11-01,2379.83
"Chen, Riggs and Dominguez",2024-11-01,2379.68
Leonard-Taylor,2024-11-01,2379.3
"Robbins, Wells and Mitchell",2024-11-01,2377.93
Brooks-Johnson,2024-11-01,2377.21
Gonzalez-Robinson,2024-11-01,2376.08
Thompson-Woodard,2024-11-01,2375.73
Yu-Becker,2024-11-01,2374.82
"Walters, Stevens and Cruz",2024-11-01,2373.39
Roman-Munoz,2024-11-01,2373.04
Strickland-Sanders,2024-11-01,2372.88
"George, Jackson and Adams",2024-11-01,2372.67
"Ramirez, Gutierrez and Hayes",2024-11-01,2372.49
"Shaw, Johnston and Sampson",2024-11-01,2370.62
Lee-Bradford,2024-11-01,2369.24
Williams-Walker,2024-11-01,2368.44
"Garrison, Carlson and Clark",2024-11-01,2367.62
Mayo Ltd,2024-11-01,2367.6
Gill Ltd,2024-11-01,2367.5
"Harris, Montgomery and Russell",2024-11-01,2367.33
Savage-Johnson,2024-11-01,2366.93
Scott Inc,2024-11-01,2366.86
Norman-Smith,2024-11-01,2366.84
James-Watkins,2024-11-01,2366.1
"Davidson, Christensen and Williamson",2024-11-01,2365.73
"Baker, Flores and Young",2024-11-01,2365.4
Rhodes-Ross,2024-11-01,2365.17
Romero-Johnston,2024-11-01,2363.86
Shah-Burton,2024-11-01,2363.3
"Mcknight, Berry and Miller",2024-11-01,2361.71
Summers-Lopez,2024-11-01,2361.31
Warner-Rodriguez,2024-11-01,2360.77
"Sanford, Velasquez and Hall",2024-11-01,2359.35
Mccormick-Johnson,2024-11-01,2358.46
Wilkins and Sons,2024-11-01,2358.14
Phillips-Brown,2024-11-01,2357.9
"Burns, Fowler and Mccann",2024-11-01,2357.37
Savage Ltd,2024-11-01,2356.51
"Campbell, Hudson and Carroll",2024-11-01,2356.27
Terrell LLC,2024-11-01,2356.01
"Burton, Herrera and Johnson",2024-11-01,2355.6
Mills and Sons,2024-11-01,2354.91
"Conrad, Mueller and Tyler",2024-11-01,2354.86
Whitehead-Johnson,2024-11-01,2352.15
Wong-Bradshaw,2024-11-01,2351.81
Kim and Sons,2024-11-01,2351.71
Sexton-Spencer,2024-11-01,2351.54
Brown-Carson,2024-11-01,2351.19
"Henderson, Robertson and Carr",2024-11-01,2347.02
Moran-Williams,2024-11-01,2346.08
"Weber, Thomas and Lewis",2024-11-01,2345.66
Deleon Group,2024-11-01,2345.04
Strickland-Johnson,2024-11-01,2344.9
Vincent Group,2024-11-01,2343.56
"Hayes, Taylor and Martin",2024-11-01,2343.02
"Lowe, Carter and Mullen",2024-11-01,2340.53
"Cannon, James and Cole",2024-11-01,2340.15
Reyes-Mccann,2024-11-01,2339.36
Gross-Garcia,2024-11-01,2338.31
Christian Inc,2024-11-01,2337.19
"Chan, Jones and Russell",2024-11-01,2335.98
"Cunningham, Jackson and Walker",2024-11-01,2333.87
"Perez, Turner and Berry",2024-11-01,2332.46
Robbins-Horn,2024-11-01,2331.94
Johnston-Anderson,2024-11-01,2331.51
"Smith, Henderson and Obrien",2024-11-01,2331.01
"Daniels, Morales and Hall",2024-11-01,2330.72
Duncan Inc,2024-11-01,2329.86
Frederick-Wright,2024-11-01,2329.81
White-Arroyo,2024-11-01,2329.69
Kennedy PLC,2024-11-01,2328.31
Lam Inc,2024-11-01,2327.04
"Moore, Brooks and Patel",2024-11-01,2324.67
"Alvarez, Clark and Bush",2024-11-01,2324.22
Turner Ltd,2024-11-01,2323.97
"Barrett, Chung and Moss",2024-11-01,2323.3
Serrano Ltd,2024-11-01,2322.61
Frost PLC,2024-11-01,2322.29
Farmer-Casey,2024-11-01,2322.1
Gutierrez-Hinton,2024-11-01,2322.05
Dudley-West,2024-11-01,2321.73
Acosta Ltd,2024-11-01,2320.38
Lopez-Harper,2024-11-01,2318.79
"James, Carlson and Hall",2024-11-01,2318.22
Powell-Cobb,2024-11-01,2317.97
Rose-Smith,2024-11-01,2317.75
Nelson-Hernandez,2024-11-01,2317.64
Ramirez-Hamilton,2024-11-01,2316.87
"Mason, Williams and Clark",2024-11-01,2313.75
"Johnson, Clayton and Barton",2024-11-01,2313.72
Santiago and Sons,2024-11-01,2313.66
"Rodriguez, Moran and Frey",2024-11-01,2312.56
Freeman LLC,2024-11-01,2310.74
Cross-Fletcher,2024-11-01,2310.56
Frost-Levine,2024-11-01,2309.69
Harris-Black,2024-11-01,2309.6
Bradley LLC,2024-11-01,2309.05
"Ford, Rodriguez and Miller",2024-11-01,2308.86
"Williamson, Pierce and Young",2024-11-01,2308.11
Vargas-Dennis,2024-11-01,2307.13
"Taylor, Lopez and Griffin",2024-11-01,2306.16
White-Holder,2024-11-01,2305.6
English-Garcia,2024-11-01,2305.36
"Wood, Moore and Castro",2024-11-01,2303.05
"Hernandez, Carroll and Romero",2024-11-01,2302.52
"Morgan, Kaufman and Hernandez",2024-11-01,2301.88
Bush Ltd,2024-11-01,2301.61
"Contreras, Watts and Tucker",2024-11-01,2301.53
"Brown, Herrera and Anderson",2024-11-01,2299.05
Hahn Inc,2024-11-01,2298.37
Morgan-Morgan,2024-11-01,2298.23
"Mathews, Hernandez and Steele",2024-11-01,2297.12
Contreras-Buchanan,2024-11-01,2296.2
Gilbert-Hall,2024-11-01,2295.77
Malone Group,2024-11-01,2295.71
King-Conway,2024-11-01,2295.64
Molina Ltd,2024-11-01,2295.19
"Hall, Dunn and Hamilton",2024-11-01,2294.03
"Grimes, Sullivan and Arroyo",2024-11-01,2293.77
"Harris, Morgan and Russo",2024-11-01,2293.17
"Thomas, Cardenas and Garcia",2024-11-01,2292.4
"Shelton, Allison and Thomas",2024-11-01,2292.39
Martinez-Hunt,2024-11-01,2292.24
Craig-Ramirez,2024-11-01,2290.45
Turner-Chambers,2024-11-01,2290.43
"Gonzalez, Lee and Mosley",2024-11-01,2286.12
Park Inc,2024-11-01,2285.09
Parsons-Johnson,2024-11-01,2284.7
"Glover, Mckinney and Solis",2024-11-01,2284.55
"Daniel, Branch and Buck",2024-11-01,2283.86
"Kennedy, Payne and Pena",2024-11-01,2283.83
Hoffman PLC,2024-11-01,2283.74
"Hancock, Hill and Mendez",2024-11-01,2283.46
Dickerson LLC,2024-11-01,2280.87
"Bush, Johnson and Taylor",2024-11-01,2278.15
Hudson-Mueller,2024-11-01,2277.18
"Shannon, Nelson and Zamora",2024-11-01,2276.27
"Gomez, Lee and Jackson",2024-11-01,2275.67
"Rhodes, Bond and Mullins",2024-11-01,2275.42
Jefferson Group,2024-11-01,2271.6
"Miranda, Novak and Rivera",2024-11-01,2271.58
Crawford Group,2024-11-01,2271.01
Romero LLC,2024-11-01,2270.36
Patel Ltd,2024-11-01,2269.98
Watts Group,2024-11-01,2269.54
Noble-Holland,2024-11-01,2268.93
"Lopez, Ford and Mason",2024-11-01,2268.05
Hernandez-Gomez,2024-11-01,2266.86
Henderson-Jones,2024-11-01,2265.96
"Mendez, Harper and Hensley",2024-11-01,2265.79
Stone-Dixon,2024-11-01,2263.79
Miller-Alvarez,2024-11-01,2262.89
"Black, Wade and Chandler",2024-11-01,2262.76
"Warner, Tucker and Holt",2024-11-01,2262.55
Young-Spencer,2024-11-01,2261.98
Conley LLC,2024-11-01,2261.0
"Holland, Rogers and Gordon",2024-11-01,2260.14
"David, Walker and Davis",2024-11-01,2260.0
"Figueroa, Lawrence and Torres",2024-11-01,2259.79
"Pearson, Cunningham and Brandt",2024-11-01,2259.61
"Thomas, Anderson and Miller",2024-11-01,2259.23
"Madden, Mcpherson and Davila",2024-11-01,2258.58
Cruz Group,2024-11-01,2257.53
Thompson-Campbell,2024-11-01,2257.45
Bowen-Perez,2024-11-01,2256.65
"Reid, Jackson and Miller",2024-11-01,2254.97
Carter-Jordan,2024-11-01,2253.36
Harris Group,2024-11-01,2253.13
"Richmond, Leonard and Mcmahon",2024-11-01,2252.45
George-Fritz,2024-11-01,2252.42
Ortiz and Sons,2024-11-01,2251.33
Davis-Hill,2024-11-01,2250.29
Hull-Baker,2024-11-01,2248.78
Curtis and Sons,2024-11-01,2248.59
"Williams, Herman and Smith",2024-11-01,2248.4
"Logan, Kidd and Sanchez",2024-11-01,2248.34
Parks-Potter,2024-11-01,2246.68
Edwards-Vargas,2024-11-01,2246.1
Miller-Schneider,2024-11-01,2245.65
Edwards Ltd,2024-11-01,2245.59
Anthony and Sons,2024-11-01,2244.31
Russell and Sons,2024-11-01,2243.66
"Suarez, Sanchez and Knight",2024-11-01,2243.5
"Patel, Acosta and Peterson",2024-11-01,2243.25
Simpson and Sons,2024-11-01,2242.26
Lopez Group,2024-11-01,2241.4
Lambert-Erickson,2024-11-01,2241.2
Howard-Hinton,2024-11-01,2241.16
Wilkerson and Sons,2024-11-01,2239.83
Cunningham-Bryant,2024-11-01,2237.74
Lopez-Salazar,2024-11-01,2237.2
"Bennett, Hamilton and Martin",2024-11-01,2236.77
"Holmes, Frank and Robbins",2024-11-01,2236.44
Nguyen-Smith,2024-11-01,2234.68
"Wright, Anderson and Brown",2024-11-01,2233.55
Kidd Inc,2024-11-01,2233.22
"Lindsey, Harris and Perry",2024-11-01,2232.86
"Adams, Savage and Stewart",2024-11-01,2232.74
"Mitchell, Graves and Newman",2024-11-01,2232.21
Gonzalez-Gutierrez,2024-11-01,2231.14
Rodriguez-Becker,2024-11-01,2230.82
Gardner Group,2024-11-01,2230.72
Choi-Nicholson,2024-11-01,2229.75
Jones-Jones,2024-11-01,2228.71
Mosley-Watson,2024-11-01,2228.2
Ferguson PLC,2024-11-01,2227.84
"Atkins, Macias and Green",2024-11-01,2227.21
Mullen-Weaver,2024-11-01,2227.17
Patrick-Turner,2024-11-01,2226.7
Jackson LLC,2024-11-01,2225.45
"Conner, Curtis and Byrd",2024-11-01,2222.74
Patterson-Franklin,2024-11-01,2222.03
"Baldwin, Higgins and Tate",2024-11-01,2221.89
Walters and Sons,2024-11-01,2221.69
"Sims, Benton and Johnson",2024-11-01,2219.88
Ross-Adams,2024-11-01,2218.77
Anderson-Norris,2024-11-01,2218.3
Cox PLC,2024-11-01,2217.49
Murray-Mccullough,2024-11-01,2217.35
Smith-Stewart,2024-11-01,2216.82
"Garcia, Phelps and Davis",2024-11-01,2216.66
Mitchell-Howell,2024-11-01,2215.69
Taylor-Drake,2024-11-01,2215.03
Chung-Ortiz,2024-11-01,2214.67
Ayers LLC,2024-11-01,2213.97
"Fernandez, Boone and Phelps",2024-11-01,2213.37
Boyer Ltd,2024-11-01,2212.17
Christensen-Madden,2024-11-01,2212.06
"Rodriguez, Crosby and Ritter",2024-11-01,2211.68
"Ramos, Johnson and Cherry",2024-11-01,2211.2
"Knight, Conrad and Johnson",2024-11-01,2210.53
Cuevas-Heath,2024-11-01,2209.86
Watson LLC,2024-11-01,2209.64
"Thompson, Frost and Campbell",2024-11-01,2209.21
"Lee, Avila and Owen",2024-11-01,2208.94
Good and Sons,2024-11-01,2208.92
"Martin, Craig and Knight",2024-11-01,2208.4
Neal-Cook,2024-11-01,2208.04
"Miller, Moreno and Hicks",2024-11-01,2207.17
Bryant Ltd,2024-11-01,2206.82
Andrade Inc,2024-11-01,2205.29
Collins-Williams,2024-11-01,2204.56
"Martinez, Hanson and Benson",2024-11-01,2202.18
Reed PLC,2024-11-01,2202.05
Kirk Inc,2024-11-01,2201.34
Rogers-Melton,2024-11-01,2200.46
Hicks and Sons,2024-11-01,2199.64
Lewis-Davidson,2024-11-01,2199.1
Sharp-Aguilar,2024-11-01,2197.38
"Johnson, Ross and Bartlett",2024-11-01,2195.31
Jacobs-Contreras,2024-11-01,2194.56
Golden and Sons,2024-11-01,2193.41
Stanley and Sons,2024-11-01,2192.38
Ward Inc,2024-11-01,2191.56
Harrison-Hancock,2024-11-01,2190.05
Freeman-Hart,2024-11-01,2189.7
"Mccullough, Macdonald and Singh",2024-11-01,2189.33
Armstrong Group,2024-11-01,2189.08
Navarro-Skinner,2024-11-01,2188.11
"Middleton, Thornton and Bautista",2024-11-01,2188.06
Hale-Strong,2024-11-01,2187.68
Thomas Ltd,2024-11-01,2187.67
Thompson-Shea,2024-11-01,2187.52
"Mcdonald, Moses and Thompson",2024-11-01,2186.27
"Hodges, Blackburn and Ortega",2024-11-01,2185.02
Cruz-Lindsey,2024-11-01,2184.52
"Lawson, Watson and Glenn",2024-11-01,2184.29
"Jones, Miller and Lynch",2024-11-01,2183.48
Carrillo-Monroe,2024-11-01,2181.27
"Gray, Castro and Morgan",2024-11-01,2180.56
Dyer-Reynolds,2024-11-01,2179.18
Hernandez-Alexander,2024-11-01,2179.0
Neal and Sons,2024-11-01,2178.09
Nelson and Sons,2024-11-01,2176.67
Chase-Cannon,2024-11-01,2176.11
Jones-Green,2024-11-01,2174.75
Holland-Young,2024-11-01,2173.54
Woods Ltd,2024-11-01,2173.42
"Bradshaw, Chase and Jordan",2024-11-01,2173.35
Hansen-Martin,2024-11-01,2171.69
Brady-Koch,2024-11-01,2171.6
Hammond-Gibson,2024-11-01,2171.36
Pace Group,2024-11-01,2171.35
"Ramsey, York and Moore",2024-11-01,2170.33
Ibarra-Rowland,2024-11-01,2169.62
Guerrero-Williams,2024-11-01,2168.22
Mendez-Morales,2024-11-01,2167.4
Bradley-Wilson,2024-11-01,2166.49
"Prince, English and Potter",2024-11-01,2166.04
Newman-Sanchez,2024-11-01,2165.7
Keller Inc,2024-11-01,2165.34
"Brooks, Russo and Clark",2024-11-01,2164.34
Brown-Benson,2024-11-01,2163.48
Watkins-Hood,2024-11-01,2162.8
"Davis, Johnson and Brewer",2024-11-01,2162.11
"Jones, Murray and Hooper",2024-11-01,2161.52
Miller-Padilla,2024-11-01,2160.96
Juarez LLC,2024-11-01,2160.43
"Daniels, Baker and Contreras",2024-11-01,2160.11
Gallegos-Horn,2024-11-01,2159.31
Lyons-Brown,2024-11-01,2158.98
"Roy, Hall and Johnson",2024-11-01,2158.61
Farley Ltd,2024-11-01,2158.35
Payne LLC,2024-11-01,2158.07
"Nelson, Hill and Lane",2024-11-01,2157.5
Velez-Pena,2024-11-01,2157.14
Acosta-Smith,2024-11-01,2157.06
Wolf-Maldonado,2024-11-01,2156.06
"Chapman, Jackson and Garrett",2024-11-01,2155.62
Davis-Medina,2024-11-01,2155.19
"Romero, Moore and Horton",2024-11-01,2154.91
"Hoffman, Phillips and Harrison",2024-11-01,2154.84
Daniels-Reynolds,2024-11-01,2154.73
Jones-Campbell,2024-11-01,2153.53
Klein and Sons,2024-11-01,2153.21
Holt Ltd,2024-11-01,2152.91
"Kim, Thomas and Gibson",2024-11-01,2151.32
"Allen, Wilson and Mercer",2024-11-01,2150.53
"Brown, Turner and Cooley",2024-11-01,2150.51
Hess-Mueller,2024-11-01,2147.94
Oconnell-Miller,2024-11-01,2147.88
Terry-Bryan,2024-11-01,2146.71
Rose PLC,2024-11-01,2146.55
"Mills, Duncan and Rose",2024-11-01,2146.49
Leach and Sons,2024-11-01,2146.2
Hickman and Sons,2024-11-01,2145.53
Wood-Taylor,2024-11-01,2145.5
"Matthews, Owens and Williams",2024-11-01,2145.3
Byrd Inc,2024-11-01,2144.98
Ryan-Knapp,2024-11-01,2143.31
Beck LLC,2024-11-01,2141.57
Mitchell Inc,2024-11-01,2141.31
"Yoder, Nelson and Roach",2024-11-01,2140.41
Carter-Lester,2024-11-01,2140.36
Lewis PLC,2024-11-01,2138.47
"Mcdonald, Reeves and Rojas",2024-11-01,2138.0
Huynh-Clark,2024-11-01,2137.86
Mitchell Group,2024-11-01,2137.62
Lee-Paul,2024-11-01,2137.39
Mendoza-Ramos,2024-11-01,2136.7
Terry PLC,2024-11-01,2136.12
Dean-Huerta,2024-11-01,2135.95
"Meyer, Murray and Fleming",2024-11-01,2135.75
"Phillips, Perry and Hart",2024-11-01,2133.51
Burton-Taylor,2024-11-01,2131.43
Wright-Price,2024-11-01,2131.3
Finley-Mendoza,2024-11-01,2130.99
Silva LLC,2024-11-01,2130.49
"Walker, Peterson and Kim",2024-11-01,2130.2
Lee-Sloan,2024-11-01,2128.97
Crosby Inc,2024-11-01,2128.35
Mcdowell and Sons,2024-11-01,2127.68
Briggs-Pineda,2024-11-01,2127.15
Stevenson-Dalton,2024-11-01,2126.52
Nguyen-Nixon,2024-11-01,2126.47
"Flores, Davis and Vasquez",2024-11-01,2126.28
Brown-Barnes,2024-11-01,2126.11
"Zimmerman, Adkins and Wallace",2024-11-01,2125.31
Stephens LLC,2024-11-01,2123.25
Wilson-Adams,2024-11-01,2123.17
Bernard-Rowe,2024-11-01,2123.12
Evans-Bishop,2024-11-01,2120.45
"James, Davis and Villarreal",2024-11-01,2117.99
Meyer-Perry,2024-11-01,2117.94
Powell-Nichols,2024-11-01,2116.29
"Williams, Nguyen and Hernandez",2024-11-01,2114.66
Gordon LLC,2024-11-01,2114.61
Cox-Stewart,2024-11-01,2114.19
Phillips-Bush,2024-11-01,2114.03
"Freeman, Wilson and Freeman",2024-11-01,2112.71
"Haynes, Wilcox and Krueger",2024-11-01,2112.2
"Brown, Wagner and Rodriguez",2024-11-01,2112.18
"Rodriguez, Taylor and Thompson",2024-11-01,2111.92
Smith-Watkins,2024-11-01,2111.72
"Brown, Bennett and Ball",2024-11-01,2110.99
Lee-Burgess,2024-11-01,2109.69
Hopkins Ltd,2024-11-01,2109.68
Frost-Patton,2024-11-01,2108.74
Campbell PLC,2024-11-01,2108.5
Todd PLC,2024-11-01,2108.25
"Patterson, Davis and Davis",2024-11-01,2106.45
Wilson-Rowland,2024-11-01,2106.43
"Mack, Poole and Hurst",2024-11-01,2105.7
"Cummings, Wagner and Henry",2024-11-01,2105.6
Kelley-Daniel,2024-11-01,2102.99
Ramos-Hayes,2024-11-01,2102.96
"Allen, Rogers and Park",2024-11-01,2102.82
"Welch, Johnston and Solis",2024-11-01,2102.33
"Mcintosh, Lam and Hopkins",2024-11-01,2102.25
Mclean and Sons,2024-11-01,2101.66
Lara-Howard,2024-11-01,2100.0
Wyatt-Lam,2024-11-01,2099.71
Ruiz-Murray,2024-11-01,2099.31
Crawford-Drake,2024-11-01,2098.55
"Pittman, Wells and Golden",2024-11-01,2098.48
"Webb, Davis and Garcia",2024-11-01,2097.4
Dudley-Cooper,2024-11-01,2096.03
"Parker, Ellison and Hendricks",2024-11-01,2095.86
"Wilson, Baxter and Doyle",2024-11-01,2094.69
"Jennings, Johnston and Maxwell",2024-11-01,2094.21
Logan and Sons,2024-11-01,2094.1
"Hernandez, Hunter and Roy",2024-11-01,2091.14
"Pope, Smith and Beck",2024-11-01,2090.53
Leblanc Group,2024-11-01,2089.87
Ali PLC,2024-11-01,2088.63
Cook-Gillespie,2024-11-01,2087.68
"Collins, Robinson and Brown",2024-11-01,2087.59
Turner-Blake,2024-11-01,2087.13
"Rice, Landry and Carney",2024-11-01,2086.89
Medina LLC,2024-11-01,2085.9
"Stephens, Brown and Olson",2024-11-01,2085.28
Gallagher-Smith,2024-11-01,2084.47
"Hunt, Perry and Nash",2024-11-01,2084.24
Moran Ltd,2024-11-01,2083.03
Stevenson Group,2024-11-01,2082.83
"Sherman, Mendoza and Bishop",2024-11-01,2082.76
Murphy Inc,2024-11-01,2081.65
"Baker, Singh and English",2024-11-01,2079.25
Mckee-Burns,2024-11-01,2078.74
"Parker, Curtis and Alvarez",2024-11-01,2077.54
Khan-Wood,2024-11-01,2076.82
"Simpson, Martinez and Williamson",2024-11-01,2076.6
Watkins-Nixon,2024-11-01,2076.41
"Liu, Hopkins and Jones",2024-11-01,2075.77
Carr-Hall,2024-11-01,2074.73
