merchant_name,avg_txn_value
Robertson-Mills,4780.16
"Newton, Scott and Gonzalez",4780.04
Oconnor-Green,4780.04
Murphy-Yu,4780.03
"Baxter, Harris and Williams",4779.91
"Bates, Nicholson and Guerra",4779.81
"Owen, Fisher and Torres",4779.66
Kelley-Willis,4779.66
Harmon-Anderson,4779.62
Schneider-Castro,4779.55
"Stokes, Smith and Powers",4779.5
Martinez-Hansen,4779.47
Ibarra-Moore,4779.44
"Castillo, Brown and Smith",4779.42
"Stark, Brown and Hoover",4779.21
"Morales, Hardy and Washington",4779.17
Martinez-Hernandez,4779.09
Patton-Orr,4778.83
Bailey-Bowers,4778.74
Ramsey-Watts,4778.69
"Henderson, Russell and Jackson",4778.66
Hamilton-Adams,4778.61
"Lawrence, Hunter and Garza",4778.6
"Evans, Harris and Black",4778.56
"Fields, Wall and Elliott",4778.48
"Rios, Rodriguez and Taylor",4778.44
Pena-Griffin,4778.42
Meyers-Blake,4778.4
"Hoffman, Hansen and Mcmillan",4778.35
"Mckee, Nguyen and Burns",4778.32
"Hutchinson, Knight and Robinson",4778.29
"Dominguez, Moreno and Olsen",4778.25
"Sanchez, Baxter and Reynolds",4778.2
Crosby-Lane,4778.2
"Ashley, Trujillo and Fisher",4778.18
"Fox, Tapia and Vaughan",4778.13
Meza-Meyers,4778.07
"Harvey, Hayes and Kelley",4778.04
"Cruz, Mejia and Boyd",4778.02
Erickson-Wheeler,4778.0
"Castillo, Franklin and Moore",4777.91
Torres-West,4777.89
Howard-Pacheco,4777.81
Armstrong-Floyd,4777.62
"Mathis, Montgomery and Levine",4777.53
Jacobs-Vaughn,4777.44
"Cole, Fields and Anderson",4777.1
Hutchinson-Gonzalez,4776.96
Jones-Marshall,4776.85
"Silva, Schneider and Pham",4776.77
"Roberts, Perez and Weaver",4776.74
"Bowers, Miller and Solomon",4776.67
Oliver-Avery,4776.56
Caldwell-Cook,4776.44
Franklin-Andrade,4776.36
Washington-Fleming,4776.31
"Patterson, Gonzalez and Johnson",4776.25
"Mathews, Cohen and Morrison",4776.09
"Cline, Romero and Liu",4775.98
"Baker, Franklin and Leonard",4775.95
"Walker, Davidson and Patton",4775.9
Brooks-Ross,4775.9
Wood-Warren,4775.8
"Green, Woods and Mitchell",4775.74
"Johnson, Lowery and Suarez",4775.69
Payne-Hoover,4775.66
Martinez-Rose,4775.51
"Tanner, Martin and Thomas",4775.47
"Foster, Lopez and Barnes",4775.43
"Rios, Johnson and Kelly",4775.33
Crawford-Hart,4775.27
Cruz-Davenport,4775.25
Austin-Snyder,4775.14
"Swanson, Davis and Mitchell",4775.01
Holloway-Boone,4775.0
"Hall, Carpenter and Mendoza",4774.82
"Ramirez, Salazar and Nicholson",4774.82
Bonilla-Davis,4774.68
"Huber, Velasquez and Hill",4774.49
Peterson-Mcgee,4774.47
Tanner-Rojas,4774.47
"Palmer, Clark and Ramirez",4774.45
"Mack, Leach and Vazquez",4774.42
Marshall-Snyder,4774.33
"Duke, Nguyen and Bell",4774.28
Hines-Baker,4774.24
"Howell, Long and Greene",4774.16
"Thompson, Grant and Horn",4774.15
"Wheeler, Lee and Lopez",4773.89
Shepard-Levine,4773.85
Black-Andrews,4773.84
"Hansen, Evans and Davis",4773.72
"Woods, Murphy and Hernandez",4773.68
"Smith, Ellis and Williams",4773.58
Cherry-Jackson,4773.45
"Ross, Bishop and Carroll",4773.3
Sherman-Baker,4773.23
Harris-Clayton,4773.16
Jimenez-Fisher,4773.03
Proctor-Cooper,4773.02
Zamora-Smith,4773.01
"Castillo, Kerr and Schmitt",4772.94
Zamora-Mendoza,4772.89
Tran-Larson,4772.74
"Juarez, Green and Morris",4772.6
"Walters, Jefferson and Frank",4772.57
"Byrd, Davis and Patrick",4772.57
Brown-Morse,4772.57
"Lynch, Moore and Mendoza",4772.36
Turner-Hale,4772.25
"Lambert, Hogan and Johnson",4772.16
Russo-Meadows,4772.16
Powell-Massey,4772.07
Austin-Burns,4772.0
"Figueroa, Brown and Harper",4771.93
"Franklin, Diaz and Robinson",4771.8
"White, Conner and Reynolds",4771.79
Baker-Lyons,4771.69
Horton-Wheeler,4771.67
Perez-Peck,4771.51
Simon-Curtis,4771.45
Perry-Lewis,4771.27
Williams-Hogan,4771.21
"Goodwin, Williams and Jenkins",4771.14
Stephens-Brown,4771.1
Strickland-Wallace,4771.06
"Jackson, Smith and Hughes",4771.0
Jackson-Gutierrez,4770.985000000001
Thornton-Diaz,4770.93
"Greene, Orr and Mercado",4770.79
Green-Barnes,4770.72
"Robertson, Roberts and Wilson",4770.64
Sims-Brandt,4770.62
Carson-Arroyo,4770.56
"Baldwin, Day and Lewis",4770.54
"Gibson, Jones and Green",4770.39
"Dixon, Larson and Baker",4770.34
"Jimenez, Stephens and Watkins",4770.25
"Hayes, Levine and Alvarez",4770.24
Bond-Coleman,4770.22
"Martin, Sanders and Melton",4770.2
"Brown, Carter and Burnett",4770.1
Aguirre-Dean,4769.69
Hurley-Owens,4769.6
Wells-Norton,4769.59
"Brown, Brown and Bowen",4769.54
Griffith-Robinson,4769.51
"Snyder, Nguyen and Lozano",4769.35
"Rodriguez, Bush and Snyder",4769.28
"Salazar, Martinez and Castillo",4769.04
Rojas-Saunders,4768.97
"Grant, Mcclure and Moody",4768.88
"Guerrero, Adams and Green",4768.8
Gibson-Luna,4768.69
"Larsen, Collier and Hunter",4768.56
Kelly-Ferguson,4768.5
Vega-Rose,4768.48
"Carey, Hernandez and Donovan",4768.37
"Davis, Hanson and Brooks",4768.37
"Daniels, Craig and Murray",4768.35
Price-Snyder,4768.27
Todd-Mendoza,4768.22
"Donaldson, Little and Phillips",4768.21
Harrison-Garrett,4768.08
Flores-Wilson,4768.07
Franklin-Smith,4768.04
Anderson-Rivera,4767.95
"Mccall, Murray and Wilson",4767.77
"Johnson, Martinez and Porter",4767.77
Gamble Inc,4767.77
Carroll-Curry,4767.74
Wu-Bauer,4767.52
Smith-Roberson,4767.44
Kelly-Hull,4767.39
Orr-Ellis,4767.31
Jones-Buckley,4767.3
"Barber, Chandler and Valentine",4767.26
"Cooper, Liu and Moore",4767.1
"Rodriguez, Brown and Bartlett",4767.06
Larson-Livingston,4766.95
"Calderon, Taylor and Conrad",4766.87
Berry-Marsh,4766.8
"Hopkins, Thompson and Blake",4766.77
"Tucker, Wilson and Nixon",4766.75
Kennedy-Thompson,4766.73
"Weaver, Price and Torres",4766.7
"Fernandez, Mitchell and Watson",4766.65
"Melendez, Reed and Sweeney",4766.52
"Clark, Rodriguez and Lewis",4766.25
Edwards-Boyd,4766.2
Delgado-Maldonado,4766.14
Barajas-Ward,4766.14
"Hall, Mason and Ruiz",4765.97
Miller-Dickerson,4765.95
"Mcmahon, Bryant and Bradford",4765.65
"Marquez, Smith and Olson",4765.58
"Atkins, Zavala and Watts",4765.57
"Jones, Jones and Anderson",4765.39
Trujillo-Roberts,4765.38
"Parker, Sparks and Dean",4765.34
Martin-Reyes,4764.81
"Colon, Owens and Case",4764.67
"Williams, Pineda and Hernandez",4764.66
"Johnson, Alexander and Lawrence",4764.48
Maxwell-Todd,4764.46
Gallagher-Castillo,4764.22
Owens-Serrano,4764.14
Turner-Green,4764.04
Bryan-Richardson,4764.04
"Phillips, Ramirez and Martin",4763.98
Proctor-Becker,4763.94
Brown-Bradley,4763.69
Mcgee-Curtis,4763.66
Anderson-Evans,4763.64
Mcpherson-Arnold,4763.51
Bruce-Reed,4763.49
"White, Jones and Kelly",4763.44
Knight-Mendoza,4763.44
Hammond-Gray,4763.44
"Osborne, Harris and Rivera",4763.41
"Reynolds, Payne and Sanchez",4763.41
Haney-Keller,4763.41
Hoffman-Fox,4763.2
"Mason, Gordon and Gallagher",4763.03
Frazier-Richards,4763.01
Woodward-Price,4762.94
Lynch-Cox,4762.88
"Phillips, Cabrera and Thompson",4762.86
Patel-Collins,4762.81
Vincent-Watson,4762.37
"Donaldson, Wallace and Davila",4762.35
Jennings-Bradshaw,4762.27
"Lewis, Bennett and Smith",4762.24
"Rodriguez, Montgomery and Carney",4762.22
"Mercado, Ward and Phillips",4762.21
Hale-Wyatt,4762.19
"Crawford, Gill and Fitzpatrick",4762.09
Cummings-Young,4762.01
Torres-Casey,4761.75
Wilson-Carter,4761.73
"Blackburn, Mason and Smith",4761.67
Bradley-Knox,4761.62
"Harris, Hicks and Delgado",4761.55
Nicholson Group,4761.53
King-Thompson,4761.465
"Bailey, Lewis and Moore",4761.44
"Lee, Bennett and Barrett",4761.21
"Morales, Smith and Torres",4761.15
Clark-Cowan,4761.05
"Olson, Diaz and Butler",4761.03
"Lee, Lopez and Gonzalez",4760.98
"Brown, Thomas and Bender",4760.86
"Silva, Anderson and Smith",4760.72
Frye-Alvarado,4760.72
Taylor-Graves,4760.66
Hughes-Poole,4760.64
Hill-Mcdonald,4760.42
Blackburn-Wolf,4760.37
"Webb, Olson and Mckenzie",4760.34
"Mccall, Clark and Copeland",4760.26
"Green, Campbell and Wiley",4760.22
"Christensen, Hall and Crawford",4760.09
"Cherry, Collins and Dawson",4759.95
Alvarez-Henderson,4759.92
Burgess-Rivera,4759.75
"White, Cervantes and Alvarado",4759.63
"Turner, Barton and Lyons",4759.36
"Moss, Hamilton and Kirk",4759.31
"Moss, Banks and Taylor",4759.31
"Carey, Acosta and Maldonado",4759.27
Ramirez-Chase,4759.05
Adams-Manning,4758.98
Grant-Martinez,4758.97
"French, Hughes and Jones",4758.76
Kelley-Lawson,4758.67
"Matthews, Kaiser and Francis",4758.64
Steele-Evans,4758.42
Stewart-Brown,4758.39
Thompson-Lozano,4758.32
Lozano and Sons,4758.3
"Farrell, Hernandez and Sanders",4758.28
"Phelps, Hess and Duffy",4758.23
Harding-Duran,4757.99
Fuentes-Lawson,4757.97
"Ross, Moore and Murray",4757.89
"Young, Smith and Rogers",4757.82
Burch-Horn,4757.77
Kent-Henderson,4757.66
Riley-Villarreal,4757.59
Ramirez-Pratt,4757.53
Robertson-Mcgee,4757.05
Rios-Wilkins,4757.01
Cameron-Scott,4756.99
Vance-Ford,4756.95
"Robertson, Bailey and Williams",4756.82
"Oneal, Castillo and Taylor",4756.81
Hall-Pennington,4756.58
"Stephens, Bennett and Mitchell",4756.5
"Larson, Watkins and Hayes",4756.43
Cline-Rogers,4756.42
Guerrero-Farmer,4756.28
"Garcia, David and Sweeney",4756.16
"Wood, Bell and Vargas",4756.03
"West, Williamson and Davidson",4755.96
Neal-Parker,4755.94
"Owens, Johnson and Green",4755.93
Sutton-Gutierrez,4755.9
"Garcia, Bishop and Armstrong",4755.86
Serrano-Garrett,4755.86
"Wright, Villarreal and Orozco",4755.79
"Hernandez, Bryant and Hawkins",4755.72
Young-Myers,4755.62
Nixon-Taylor,4755.52
Jefferson-Murray,4755.38
Khan-Morris,4755.32
"Hendrix, Bennett and Green",4755.24
Strickland-Stone,4755.22
"Yang, Hernandez and Davis",4755.19
"Smith, Horton and Martin",4755.16
"Garcia, Castillo and Richards",4755.13
"Mcdonald, Conrad and Daniels",4755.12
Patterson-Smith,4755.04
"Flores, Clark and Cook",4755.0
Johnson-Callahan,4754.93
Salazar-Phillips,4754.91
"Stone, Torres and Brown",4754.88
"Morrison, Good and Baker",4754.74
"Odonnell, Romero and Barron",4754.66
"Collins, Bush and Alvarez",4754.62
Blevins-Smith,4754.32
"Barber, Mclaughlin and Tran",4754.12
"Reynolds, Edwards and Washington",4754.1
Gray-Nguyen,4754.09
"Davenport, Ingram and Wells",4754.03
"Garcia, Peterson and Duran",4754.02
"Erickson, Lester and Mason",4754.02
Baker-Cantu,4753.96
"Smith, Shea and Bailey",4753.89
"Taylor, Harper and Bailey",4753.79
"Thornton, Nelson and Jackson",4753.63
"Wilson, Mccarthy and Smith",4753.21
"Franco, Bryant and Scott",4753.17
"Chang, Burnett and Ortiz",4753.11
"Webb, Joseph and Roy",4753.08
"Zuniga, Conway and Richardson",4752.97
Reed-Carson,4752.89
"Yu, Osborne and Cook",4752.71
"Dixon, Reilly and Hunter",4752.64
"Garrison, Hill and Montgomery",4752.5
"Ortega, Alexander and Day",4752.26
Allen-Hill,4752.17
"Miller, Garcia and Lee",4752.02
"Walsh, Wood and Miller",4752.01
Nelson-Benjamin,4752.0
Lewis-Calhoun,4751.94
"Long, Mueller and Lane",4751.9
"Gutierrez, Price and Cox",4751.74
Russell-Holder,4751.74
"Johnson, Turner and French",4751.7
Dickson-Hernandez,4751.64
Howard-Maddox,4751.48
"Estrada, Powers and Rogers",4751.45
"Ford, Campbell and Lewis",4751.37
"Ramirez, Riley and Madden",4751.36
Love-Calderon,4751.26
Thompson-Sosa,4751.21
Martin-Graham,4751.18
Johnson-Chan,4750.86
Osborn-Cooper,4750.66
Cooper-Steele,4750.66
Kerr-Cross,4750.6
Matthews-Richardson,4750.51
Hale-Mckay,4750.48
"Herring, Patterson and Scott",4750.38
"Sexton, Edwards and Hall",4750.31
"Reynolds, Mason and Mccarty",4750.29
Hicks-Ellis,4750.2
Montoya-Weiss,4750.19
Wood-Mcdonald,4750.06
"Lam, Robles and Murphy",4750.04
"Jackson, Hull and Hart",4750.03
"Roth, Martinez and Ferguson",4750.01
Morgan-Mercer,4749.99
"Brennan, Miller and Rice",4749.95
Bell-Robinson,4749.71
Peters-Grant,4749.61
"Clark, Green and Tran",4749.54
"Brown, Bell and Odonnell",4749.52
Smith-Chang,4749.51
Young-Kennedy,4749.44
"Levy, Luna and Williams",4749.17
Cline-Hernandez,4748.98
Martinez-Fleming,4748.86
"Weeks, Webb and Schroeder",4748.76
"Bailey, Turner and Ray",4748.76
Lloyd-Lowery,4748.75
Walters-Farrell,4748.7
Bennett-Snow,4748.65
Bradford-Patterson,4748.6
"Bradley, Elliott and Carter",4748.55
"Davis, Weaver and Hutchinson",4748.53
"Mayo, Lyons and Yang",4748.47
Frye-Roberts,4748.39
"Martin, Johnson and Vaughan",4748.28
James-Vincent,4748.27
"Reed, Williams and Schultz",4748.25
"Kennedy, Perkins and Brown",4747.96
Pugh-Jordan,4747.96
Martinez-Lopez,4747.915
Bradshaw-Stafford,4747.86
Mitchell-Rodgers,4747.79
Cruz-Key,4747.79
Jackson-Downs,4747.55
"Carlson, Thompson and Gonzalez",4747.5
"Tyler, Welch and Jackson",4747.5
"Smith, Sanchez and Fox",4747.44
Clark-Gonzalez,4747.13
Long-Wallace,4747.03
Carter-Moreno,4747.02
"Johnson, Clark and Ferguson",4746.75
"Malone, Wallace and Matthews",4746.35
Griffin-Hogan,4746.26
"Norton, Allen and Sheppard",4746.08
Morgan-Simmons,4746.08
Tyler and Sons,4745.975
Lowery-Guerrero,4745.85
"Miller, Ryan and Romero",4745.53
"Roberts, Hill and Little",4745.27
"Gonzalez, Hernandez and Wallace",4745.16
Leblanc-Brock,4745.01
"Clark, Maldonado and Martinez",4744.79
"Walsh, Thomas and Cole",4744.75
"Murphy, Sweeney and Miller",4744.71
Benton-Graham,4744.47
"Owen, Anderson and Colon",4744.46
Davis-Jackson,4744.45
Solomon Ltd,4744.44
Camacho-Shaw,4744.39
Howe-Maldonado,4744.24
"Chavez, Greene and Turner",4744.23
"Reeves, Gaines and Coleman",4744.21
Morris-Ortiz,4744.09
"Zhang, Lane and Miles",4743.99
Walker-Savage,4743.93
Andrews-Padilla,4743.79
Brennan-Dougherty,4743.78
Stout-Butler,4743.77
Aguirre-Johnson,4743.77
"Nelson, Gonzalez and Brown",4743.75
Carrillo-Humphrey,4743.74
"Pace, Pennington and Smith",4743.6
Ray-Young,4743.5
"Hood, Barber and Strickland",4743.49
"Leon, Flores and Clark",4743.45
Walker-Torres,4743.29
Obrien-Powers,4743.27
Murphy-Ford,4743.16
"Douglas, Thomas and Hutchinson",4743.11
Lewis-Santana,4742.91
Ward-Austin,4742.79
Long-Jordan,4742.625
Hall-Arias,4742.55
"Sanchez, Ramirez and Harrell",4742.49
Mitchell-Mathis,4742.46
Mcdaniel-Ross,4742.42
"Padilla, Jones and Mccarthy",4742.41
Brewer and Sons,4742.12
"Pace, Clark and Stewart",4742.1
Brown-Rivera,4742.09
"Duncan, Sexton and Wiley",4741.63
Robles-Padilla,4741.57
White-Romero,4741.47
"Whitney, Carson and Mccoy",4741.44
"Ryan, Gomez and Vega",4741.44
"Harrington, Martin and Diaz",4741.29
"Compton, Brown and Lewis",4741.23
Alexander-Salinas,4741.23
"James, Smith and Medina",4741.14
Brooks-Nielsen,4741.11
"Johnson, Castillo and Cochran",4740.96
"Sims, Mitchell and Davis",4740.94
"Perez, Lawrence and Valdez",4740.9
"French, Garcia and Wilson",4740.86
"Torres, Hayes and Barrett",4740.7
Tucker-Atkinson,4740.54
"Jackson, Herrera and Ramsey",4740.49
Mcpherson-Kelley,4740.38
"Gordon, Mccormick and Stone",4740.37
Oconnor-Esparza,4740.36
"Jackson, Serrano and Davenport",4740.29
Nguyen-Underwood,4740.23
"Silva, Hughes and Turner",4740.16
Hamilton-Davis,4740.03
"Marks, Ball and Kidd",4739.85
Garcia-Knapp,4739.85
"Peters, York and Kennedy",4739.84
"Padilla, Cook and Johnson",4739.8
"Blevins, Reeves and Gilmore",4739.77
Hughes-Wang,4739.64
"Clark, Ferguson and Pearson",4739.58
"Swanson, Hill and Kelley",4739.56
"Thompson, Gomez and Simon",4739.48
"Mendoza, Carter and Coleman",4739.32
"Odom, Reynolds and Parker",4739.22
"Cox, Taylor and Garcia",4739.16
Morse-Peters,4739.12
"Brown, Pena and Meyers",4739.05
"Rangel, Fuentes and Smith",4738.95
"Johnson, Johnson and Wolf",4738.81
"Wilson, Bell and Brooks",4738.77
"Arias, Bell and Howard",4738.72
"Medina, Davis and Hughes",4738.46
"Mcdonald, Campbell and Mcdaniel",4738.45
Butler-Cowan,4738.4
Meyer-Young,4738.31
"Bell, Mccarthy and Hancock",4738.23
"Hodges, Campbell and Baker",4738.12
"Ball, Price and Green",4738.09
Sullivan-Schmidt,4738.06
"Nguyen, West and Mills",4738.04
Dorsey-Thompson,4737.89
"Simmons, Gomez and Ibarra",4737.79
Morales-White,4737.76
"Newman, Shea and Roberts",4737.6
"Young, Nielsen and Rodriguez",4737.56
"Ford, White and Faulkner",4737.53
Sanders-Mitchell,4737.5
"Lester, Price and Wells",4737.36
Salinas-Murray,4737.28
"Mclean, Carter and Mayo",4737.23
Douglas-Smith,4737.22
"Ayala, Stokes and Parker",4737.13
Moody-Stephens,4736.96
Brooks-Schneider,4736.72
Martin-Avila,4736.57
Boyd-Carney,4736.52
Kane-White,4736.5
"Duffy, Rush and Hopkins",4736.27
"Jones, Downs and Foley",4736.09
"Miller, Nguyen and Evans",4736.07
Hobbs-Kerr,4736.07
Thomas-Lyons,4736.06
"Mckinney, Curtis and Martinez",4736.05
Miller-Giles,4735.99
"Roberts, Jones and Johnson",4735.89
Miller-Mckay,4735.78
Sellers-Rowe,4735.77
Gregory-Decker,4735.63
Diaz-Howard,4735.58
"Silva, Thomas and Murray",4735.51
"Morris, Preston and Moore",4735.47
Walker-Gray,4735.27
Allen-Malone,4735.26
"Gibson, Pierce and Smith",4735.21
"Berg, Ali and Sanders",4735.17
"Salazar, White and Romero",4735.09
Ellis-Zuniga,4734.99
"Dean, Crawford and Williamson",4734.74
Rojas-Garcia,4734.5
Lloyd LLC,4734.43
"Lewis, Carpenter and Moreno",4734.29
"Dunlap, Gonzalez and Fowler",4734.26
"Brewer, Davis and Todd",4734.23
Walters-Mccoy,4734.14
"Lam, George and Johnson",4734.12
"Riddle, Garcia and Carter",4734.07
Johnson-Hawkins,4733.9
"Thompson, Hawkins and Ball",4733.86
"Martinez, White and Peterson",4733.85
"Evans, Wilkinson and Jones",4733.84
"Perez, Schmidt and Anderson",4733.8
Finley PLC,4733.74
Hansen-Johns,4733.56
Jones-Sutton,4733.29
Reynolds-Santos,4733.24
Kline-Wade,4733.14
Buchanan-Harris,4732.99
Vazquez-Rice,4732.93
"Fisher, Franco and King",4732.86
Gray-Adams,4732.86
Rose-Cook,4732.78
"Arnold, Graham and Russo",4732.63
Schmitt-Porter,4732.62
"Harris, Miller and Davenport",4732.6
Mcdowell-Williams,4732.39
"Griffith, Johnson and Jimenez",4732.36
"Reid, Medina and Koch",4732.32
Silva-Henry,4732.31
"Blackburn, Johnson and Garcia",4732.19
"Davis, Richardson and West",4732.14
"Mueller, Cook and Noble",4732.14
Flores-Graham,4732.05
Curry-Gomez,4732.04
"Booker, Fritz and Wells",4731.93
Dalton-Anderson,4731.9
"Brewer, Atkinson and Mathews",4731.42
"Smith, Hernandez and Taylor",4731.42
"Bailey, Ballard and Snyder",4731.39
Macdonald-Mclaughlin,4731.28
Patton-Hebert,4731.25
"Cooper, Pruitt and Smith",4731.2
"Young, May and Banks",4731.2
"Johnson, Byrd and Wood",4731.01
Walsh-Stewart,4730.89
"Hess, Zimmerman and Jimenez",4730.87
"Hansen, Chavez and Bautista",4730.86
"Blevins, Mcdonald and Salas",4730.84
"Adams, Nichols and Collins",4730.79
"Howell, Bell and Hamilton",4730.43
"Mayer, Smith and Murphy",4730.35
"Stone, Higgins and Castillo",4730.11
"Bowen, Le and Richardson",4730.03
"Brown, Lopez and Avila",4730.02
Cox-Ellis,4729.9
"Henderson, Little and Brock",4729.79
Williams-Aguilar,4729.76
Sullivan-Gutierrez,4729.74
"Jones, Allen and Baker",4729.61
"Greene, Yates and Ballard",4729.55
"Reid, Miller and Brown",4729.48
Savage-Thompson,4729.46
"Roberson, Walker and Welch",4729.35
"Hayes, Roberts and Mcknight",4729.34
"Adams, Miranda and Hunter",4729.16
"Harris, Winters and Smith",4728.82
"Powell, Evans and Mcbride",4728.79
"Williams, Newton and Williams",4728.76
"Harper, Jones and Coleman",4728.66
"Garza, Johnson and Washington",4728.53
Everett-White,4728.32
Luna-Thornton,4728.27
"Edwards, Rivera and Weiss",4728.22
Dixon-Meadows,4728.21
Smith-Haney,4728.175
"Hays, Campos and Snyder",4728.14
Contreras-Smith,4728.11
Green-Hale,4728.11
Walker-Swanson,4728.06
"Brewer, Mckay and Brown",4728.04
Pierce-Mccann,4727.87
"Vargas, Ward and Jones",4727.78
"Walters, Smith and Strong",4727.75
"Gonzales, Pitts and Vega",4727.73
Nelson-Rosario,4727.73
"Lawrence, Parker and Warner",4727.56
Lawson-Fowler,4727.51
"Holland, Smith and Singleton",4727.47
King-Poole,4727.25
Potts-Ingram,4727.14
Evans-Marks,4727.14
"Dean, Martin and Wood",4727.13
Hardy-Vega,4727.12
Berry-Williams,4727.07
"Jones, Douglas and Gutierrez",4727.02
"Romero, Castro and Schmidt",4727.01
Warner-Ross,4727.0
Rowe-Wheeler,4726.97
Rose-Holmes,4726.94
Henry-Payne,4726.93
"Brown, Gray and Guerrero",4726.84
Perez-Chang,4726.78
Howard-Walker,4726.75
"Tate, Vance and Rogers",4726.73
"Shepard, Martin and Berry",4726.39
Ward-Jackson,4726.26
Wright-Moran,4726.09
"Buckley, Dudley and Ward",4726.05
Dominguez-Collins,4725.9
"Wilson, Drake and Gross",4725.86
Jacobson-Soto,4725.81
Jones-Lee,4725.78
"Martinez, Cruz and Reed",4725.7
"Barrett, Norman and Jones",4725.62
"Jimenez, Silva and Lester",4725.6
"Sullivan, Jones and Gonzalez",4725.59
Higgins-Rowe,4725.59
Dickson-Clark,4725.43
"Patel, Wallace and Wilson",4725.25
Wang-Jones,4725.25
"Parker, Rollins and Brown",4725.24
"Miles, Larson and Moody",4725.21
Butler-Combs,4725.21
Lewis-Potter,4725.16
"Mack, Clark and Ruiz",4725.15
"Carter, Boyd and Herrera",4725.08
"Cook, Wright and Collins",4724.97
"Taylor, Stephenson and Floyd",4724.96
Anderson-Jones,4724.93
"Lopez, Herring and Ramirez",4724.88
"Hunt, Thompson and Serrano",4724.69
"Anderson, Anderson and Boyd",4724.62
Hall-Townsend,4724.5
"Hancock, Stanton and Gomez",4724.41
Anderson-Olsen,4724.33
Butler-French,4724.27
"King, Salazar and Fitzgerald",4724.12
Kennedy-Weber,4724.12
"Palmer, Larsen and Johnson",4724.09
Bray-Martin,4723.99
"Benitez, Terry and Mora",4723.93
Hanson-Miller,4723.88
Torres-Walker,4723.84
Miller-Graham,4723.5
"Brown, Shaw and Carter",4723.44
Dean-Rios,4723.42
Jackson-Kirk,4723.24
"Wood, Cruz and Davis",4723.2
"Hayes, Stewart and Hardin",4723.19
Noble-Oconnor,4723.16
"Hensley, Cunningham and Herman",4723.14
"Ramos, Serrano and Esparza",4723.04
Allen-Davis,4722.92
Schultz-Patel,4722.55
"Ellis, Fuller and Stephenson",4722.49
"Garcia, Wall and Jimenez",4722.48
"Williams, Pittman and Keller",4722.39
"Williams, Gonzalez and Swanson",4722.37
Barnes-Hall,4722.35
"Rose, Stone and West",4722.29
"Nelson, Howard and Cox",4722.22
Terrell-Hall,4722.2
Flynn-Powell,4722.09
"Russell, Flores and Lin",4722.08
"Gonzalez, George and Diaz",4722.06
Paul-Rodriguez,4722.03
"Stephenson, Franco and Rogers",4722.0
"Smith, Evans and Pitts",4722.0
Leonard-Russell,4721.89
Kline-Rivera,4721.83
Turner-Lopez,4721.48
"Martinez, Johnson and Simpson",4721.32
Booth-Garcia,4721.26
Stephens-Sanders,4721.22
"Dunn, Peterson and Norris",4721.21
"Smith, Medina and Hall",4721.16
Stephens-Friedman,4721.11
"Ross, Diaz and Becker",4721.08
"Lewis, Foster and Cooke",4721.01
Gregory-Payne,4720.96
Henson-Chase,4720.93
"Kirk, Smith and Rodriguez",4720.83
"Chapman, Brown and Welch",4720.8
Barton-Wilson,4720.74
Bird LLC,4720.65
"Dorsey, Hammond and Walton",4720.48
Howe-Montgomery,4720.46
"Cruz, Sawyer and Wilson",4720.36
Taylor-Carter,4719.93
"Johnson, Johnson and Moore",4719.9
"Hayes, Holmes and Mendoza",4719.88
Harris-Griffith,4719.8
"Turner, Vang and Hendricks",4719.78
"Skinner, Morgan and Patton",4719.57
Aguilar-Greene,4719.54
Brock-Turner,4719.52
Hill-Hodge,4719.51
Evans-Ingram,4719.39
"Hamilton, Smith and Dean",4719.27
"Kelly, Smith and Turner",4719.12
"Wilson, Davidson and Montoya",4719.08
"Peterson, Blake and Bennett",4719.07
"Young, Hickman and Mclaughlin",4719.05
Patterson-Mckinney,4718.98
"Mitchell, Schmidt and Allen",4718.97
"Smith, Kelly and Hunt",4718.8
"Mcgee, Mcconnell and Walters",4718.79
Morales-Martinez,4718.79
"Thompson, Cruz and Clark",4718.69
"Saunders, Kennedy and Garcia",4718.66
"Nguyen, Schmidt and Hale",4718.63
Ware-Michael,4718.59
"West, Padilla and Rivera",4718.57
Hutchinson-Murray,4718.45
"Martinez, Vaughn and Anderson",4718.36
Herrera-Lopez,4718.34
"Hoffman, Warren and Gilbert",4718.3
Sloan-Perry,4718.18
Ross-Bolton,4718.11
"White, Gilmore and Lopez",4718.1
Stephens-Thompson,4717.95
Tapia-Ward,4717.95
"Mahoney, Johnson and Fleming",4717.92
"Jones, Kelly and Perry",4717.83
Heath-Lewis,4717.74
"Hernandez, Harris and Bailey",4717.69
"Frank, Reese and Hill",4717.56
Flores-Robinson,4717.56
Wheeler-Watson,4717.49
Ball-Booth,4717.43
"Porter, Bowen and Woodard",4717.4
Ward-Johnson,4717.32
"Cox, Ray and Brooks",4717.23
Watts-Baldwin,4717.19
Sanchez-Wallace,4717.19
"Bell, Nichols and Phillips",4717.14
"Stephens, Foley and Owens",4717.05
Johnson-Rose,4716.89
"Sanders, Herrera and Decker",4716.79
Johnson-Mckinney,4716.77
"Carter, Richard and Arroyo",4716.76
Bradley-Bailey,4716.74
"Frazier, Hardy and Avila",4716.58
"Smith, Holmes and Turner",4716.53
Hampton-Knight,4716.43
Chapman-Sanford,4716.42
"David, Munoz and Martinez",4716.41
Medina-Sutton,4716.37
Berg-Fischer,4716.32
"Singleton, Blackburn and Mckinney",4716.3
